no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius,Acute Viral hepatitis B,Acute Viral hepatitis C,Avian Influenza,Botulism,Cholera,Dengue Fever,Dengue Haemorrhagic Fever,Diphtheria,Ebola Virus Disease,Encephalitis,Haemophilus influenzae type b,Japanese Encephalitis,Legionellosis,Leptospirosis,Malaria,Measles,Melioidosis,Meningococcal Infection,Monkeypox,Mumps,Murine Typhus,Paratyphoid,Pertussis,Plague,Pneumococcal Disease (invasive),Poliomyelitis,Rubella,SARS,Salmonellosis(non-enteric fevers),Tetanus,Typhoid,Yellow Fever,HFMD_Total,Chikungunya_Total,Nipah_Total,Campylobacter_Total,HepatitisA_Total,HepatitisE_Total,Zika_Total
16,2012,1,106.1,87.3,26.2,25.007930107526885,6.0,26.7,2.0,0.0,0.0,,0.0,332.0,6.0,0.0,,4.0,0.0,,1.0,,9.0,7.0,3.0,0.0,,56.0,,7.0,8.0,0.0,16.0,0.0,9.0,0.0,120.0,,20.0,0.0,1951.0,2.0,0.0,38.0,11.0,5.0,0.0
11,2012,2,83.6,85.6,38.4,25.257183908045977,7.0,27.2,3.0,0.0,0.0,,0.0,257.0,1.0,0.0,,2.0,0.0,,2.0,,3.0,8.0,3.0,0.0,,52.0,,11.0,3.0,0.0,12.0,0.0,8.0,0.0,108.0,,6.0,0.0,3597.0,2.0,0.0,27.0,2.0,9.0,0.0
21,2012,3,313.4,87.3,92.3,25.314247311827955,4.2,27.0,6.0,1.0,0.0,,0.0,281.0,2.0,0.0,,4.0,0.0,,5.0,,14.0,2.0,1.0,0.0,,56.0,,5.0,5.0,0.0,15.0,0.0,5.0,0.0,144.0,,6.0,0.0,5137.0,2.0,0.0,43.0,4.0,11.0,0.0
20,2012,4,260.6,85.1,48.4,25.57111111111111,5.8,27.6,3.0,0.0,0.0,,0.0,308.0,3.0,0.0,,1.0,0.0,,3.0,,10.0,2.0,4.0,0.0,,54.0,,5.0,0.0,0.0,13.0,0.0,9.0,0.0,109.0,,6.0,0.0,5597.0,2.0,0.0,34.0,5.0,6.0,0.0
19,2012,5,292.0,83.1,79.2,25.842473118279568,5.6,28.2,5.0,0.0,0.0,,1.0,337.0,1.0,0.0,,0.0,0.0,,1.0,,6.0,2.0,3.0,0.0,,45.0,,4.0,2.0,0.0,9.0,0.0,4.0,0.0,124.0,,8.0,0.0,5852.0,1.0,0.0,32.0,8.0,13.0,0.0
8,2012,6,53.0,79.0,38.2,25.799305555555556,6.0,28.7,4.0,0.0,0.0,,0.0,605.0,3.0,0.0,,1.0,0.0,,3.0,,22.0,3.0,1.0,0.0,,46.0,,11.0,3.0,0.0,20.0,0.0,5.0,0.0,146.0,,10.0,0.0,4095.0,0.0,0.0,36.0,9.0,9.0,0.0
17,2012,7,130.8,81.1,35.4,25.18494623655914,6.2,27.7,2.0,0.0,0.0,,1.0,459.0,2.0,0.0,,0.0,1.0,,4.0,,22.0,1.0,0.0,0.0,,39.0,,4.0,1.0,0.0,11.0,0.0,6.0,0.0,109.0,,2.0,0.0,3051.0,0.0,0.0,32.0,12.0,10.0,0.0
12,2012,8,119.0,79.8,31.0,25.202016129032256,6.1,27.9,6.0,0.0,0.0,,0.0,436.0,0.0,0.0,,1.0,0.0,,2.0,,13.0,3.0,4.0,0.0,,46.0,,5.0,1.0,0.0,18.0,0.0,6.0,0.0,128.0,,6.0,0.0,2199.0,0.0,0.0,29.0,12.0,6.0,0.0
10,2012,9,107.6,79.7,35.8,25.150555555555556,5.6,27.9,7.0,1.0,0.0,,0.0,422.0,4.0,0.0,,6.0,0.0,,3.0,,14.0,3.0,6.0,0.0,,43.0,,2.0,0.0,0.0,14.0,0.0,1.0,0.0,169.0,,5.0,0.0,2608.0,1.0,0.0,61.0,16.0,14.0,0.0
13,2012,10,122.2,81.3,22.6,25.155779569892474,5.9,27.7,7.0,0.0,0.0,,0.0,415.0,1.0,0.0,,3.0,0.0,,0.0,,14.0,2.0,3.0,0.0,,30.0,,1.0,0.0,0.0,13.0,0.0,5.0,0.0,100.0,,3.0,0.0,1307.0,5.0,0.0,47.0,10.0,5.0,0.0
22,2012,11,208.2,85.4,49.2,25.138472222222223,4.4,27.1,6.0,0.0,0.0,,0.0,365.0,3.0,0.0,,2.0,0.0,,6.0,,6.0,5.0,2.0,0.0,,35.0,,0.0,1.0,0.0,13.0,0.0,4.0,0.0,124.0,,5.0,0.0,977.0,1.0,0.0,32.0,12.0,11.0,0.0
22,2012,12,363.4,87.0,78.8,24.978494623655912,3.6,26.7,7.0,0.0,0.0,,0.0,385.0,4.0,0.0,,3.0,0.0,,1.0,,10.0,0.0,1.0,0.0,,19.0,,2.0,0.0,0.0,9.0,0.0,2.0,0.0,118.0,,7.0,0.0,754.0,6.0,0.0,32.0,7.0,5.0,0.0
15,2013,1,262.0,82.1,73.0,24.62849462365591,6.0,27.1,3.0,0.0,0.0,,0.0,1111.0,7.0,0.0,,6.0,0.0,,3.0,,3.0,1.0,7.0,0.0,,61.0,,7.0,4.0,0.0,19.0,0.0,5.0,0.0,140.0,,13.0,0.0,867.0,3.0,0.0,45.0,9.0,8.0,0.0
22,2013,2,395.2,86.9,95.2,24.79285714285714,4.0,26.5,2.0,0.0,0.0,,0.0,1109.0,5.0,0.0,,5.0,0.0,,1.0,,3.0,0.0,3.0,1.0,,31.0,,2.0,0.0,0.0,10.0,0.0,5.0,0.0,106.0,,7.0,0.0,998.0,4.0,0.0,35.0,10.0,4.0,0.0
10,2013,3,85.8,80.4,29.6,25.5497311827957,7.5,28.3,7.0,0.0,0.0,,0.0,1600.0,10.0,0.0,,2.0,1.0,,1.0,,8.0,1.0,5.0,0.0,,50.0,,2.0,0.0,0.0,13.0,0.0,4.0,0.0,152.0,,7.0,0.0,2082.0,27.0,0.0,27.0,8.0,8.0,0.0
19,2013,4,159.4,82.7,41.6,25.81625,5.2,28.2,4.0,0.0,0.0,,0.0,2079.0,7.0,0.0,,3.0,0.0,,1.0,,14.0,3.0,0.0,0.0,,56.0,,1.0,0.0,0.0,15.0,0.0,4.0,0.0,138.0,,5.0,0.0,2132.0,92.0,0.0,46.0,10.0,4.0,0.0
17,2013,5,211.4,83.1,46.2,25.848387096774193,5.4,28.2,10.0,0.0,0.0,,0.0,2546.0,9.0,0.0,,1.0,1.0,,1.0,,15.0,4.0,1.0,0.0,,36.0,,2.0,1.0,0.0,16.0,0.0,4.0,0.0,144.0,,10.0,0.0,2760.0,103.0,0.0,30.0,5.0,6.0,0.0
12,2013,6,111.4,74.6,22.4,25.30388888888889,6.4,29.0,7.0,1.0,0.0,,0.0,3934.0,15.0,0.0,,2.0,3.0,,1.0,,12.0,1.0,5.0,0.0,,56.0,,0.0,3.0,0.0,14.0,0.0,6.0,0.0,178.0,,11.0,0.0,2916.0,174.0,0.0,28.0,9.0,9.0,0.0
15,2013,7,174.6,79.9,37.4,25.04193548387097,5.7,27.8,4.0,1.0,0.0,,0.0,1522.0,4.0,0.0,,5.0,2.0,,2.0,,11.0,2.0,3.0,1.0,,52.0,,0.0,0.0,0.0,7.0,0.0,4.0,0.0,136.0,,7.0,0.0,2309.0,84.0,0.0,33.0,4.0,3.0,0.0
15,2013,8,165.6,79.0,43.2,25.04422043010753,6.1,27.9,3.0,0.0,0.0,,0.0,1353.0,8.0,0.0,,5.0,0.0,,2.0,,17.0,5.0,2.0,0.0,,43.0,,1.0,3.0,0.0,12.0,0.0,2.0,0.0,104.0,,5.0,0.0,3005.0,86.0,0.0,27.0,3.0,2.0,0.0
19,2013,9,257.0,81.3,52.6,25.012916666666666,4.6,27.5,4.0,0.0,0.0,,1.0,1997.0,17.0,0.0,,1.0,0.0,,3.0,,13.0,9.0,4.0,0.0,,25.0,,1.0,5.0,0.0,12.0,0.0,4.0,0.0,236.0,,7.0,0.0,5067.0,179.0,0.0,33.0,4.0,2.0,0.0
19,2013,10,285.4,79.9,139.8,24.95766129032258,6.3,27.7,5.0,0.0,0.0,,1.0,1758.0,7.0,0.0,,3.0,2.0,,1.0,,1.0,9.0,1.0,0.0,,22.0,,3.0,0.0,0.0,9.0,0.0,4.0,0.0,149.0,,3.0,0.0,4337.0,82.0,0.0,25.0,9.0,2.0,0.0
22,2013,11,292.4,84.6,44.0,25.066666666666666,4.5,27.1,4.0,0.0,0.0,,0.0,1580.0,3.0,0.0,,3.0,1.0,,1.0,,8.0,5.0,5.0,0.0,,31.0,,1.0,1.0,0.0,16.0,0.0,4.0,0.0,146.0,,4.0,0.0,3198.0,117.0,0.0,33.0,7.0,3.0,0.0
21,2013,12,348.2,85.8,119.8,24.609139784946237,3.5,26.5,4.0,0.0,0.0,,0.0,1512.0,1.0,0.0,,2.0,0.0,,7.0,,6.0,6.0,1.0,1.0,,32.0,,3.0,0.0,0.0,19.0,0.0,2.0,0.0,108.0,,5.0,0.0,2108.0,108.0,0.0,36.0,10.0,4.0,0.0
5,2014,1,75.4,78.5,31.2,23.391129032258064,5.3,26.2,4.0,0.0,0.0,,0.0,1886.0,1.0,0.0,,3.0,1.0,,4.0,,5.0,33.0,2.0,0.0,,50.0,,1.0,2.0,0.0,12.0,0.0,2.0,0.0,144.0,,9.0,0.0,1658.0,98.0,0.0,40.0,14.0,3.0,0.0
1,2014,2,0.2,74.5,0.2,23.708333333333332,8.8,27.2,4.0,1.0,0.0,,0.0,1021.0,3.0,0.0,,7.0,2.0,,3.0,,0.0,29.0,1.0,1.0,,47.0,,1.0,0.0,0.0,13.0,0.0,2.0,0.0,100.0,,3.0,0.0,1343.0,33.0,0.0,34.0,10.0,3.0,0.0
6,2014,3,66.0,76.0,52.6,24.54462365591398,8.0,27.9,10.0,3.0,0.0,,0.0,1108.0,2.0,0.0,,1.0,0.0,,2.0,,6.0,18.0,1.0,2.0,,48.0,,4.0,1.0,0.0,12.0,0.0,4.0,0.0,184.0,,10.0,0.0,1530.0,12.0,0.0,49.0,5.0,7.0,0.0
17,2014,4,110.0,80.0,28.8,25.461805555555557,5.7,28.2,6.0,11.0,0.0,,0.0,1012.0,1.0,0.0,,4.0,0.0,,2.0,,8.0,19.0,2.0,1.0,,44.0,,4.0,2.0,0.0,6.0,0.0,4.0,0.0,173.0,,5.0,0.0,1697.0,6.0,0.0,45.0,7.0,7.0,0.0
18,2014,5,125.8,80.2,22.2,25.811424731182797,5.8,28.6,10.0,2.0,0.0,,0.0,1435.0,1.0,0.0,,2.0,1.0,,3.0,,2.0,10.0,8.0,0.0,,26.0,,2.0,5.0,0.0,7.0,0.0,0.0,0.0,196.0,,8.0,0.0,2767.0,7.0,0.0,52.0,5.0,5.0,0.0
11,2014,6,71.4,77.5,18.8,25.880972222222223,6.0,29.0,12.0,2.0,0.0,,1.0,3073.0,5.0,0.0,,2.0,0.0,,7.0,,9.0,7.0,2.0,1.0,,37.0,,2.0,2.0,0.0,12.0,0.0,4.0,0.0,225.0,,5.0,0.0,2483.0,10.0,0.0,41.0,4.0,6.0,0.0
15,2014,7,148.6,78.3,29.0,25.704704301075267,5.5,28.7,11.0,9.0,0.0,,0.0,2679.0,4.0,0.0,,4.0,0.0,,3.0,,6.0,10.0,5.0,0.0,,36.0,,1.0,2.0,0.0,9.0,0.0,2.0,0.0,161.0,,5.0,0.0,1587.0,5.0,0.0,28.0,3.0,8.0,0.0
20,2014,8,241.0,79.7,44.2,24.933198924731183,4.5,27.7,7.0,5.0,0.0,,0.0,1768.0,0.0,0.0,,4.0,1.0,,1.0,,6.0,12.0,4.0,0.0,,41.0,,1.0,1.0,0.0,14.0,0.0,1.0,0.0,145.0,,1.0,0.0,1855.0,5.0,0.0,34.0,9.0,12.0,0.0
9,2014,9,83.6,75.6,34.6,25.079583333333332,7.0,28.5,11.0,6.0,0.0,,0.0,1780.0,2.0,0.0,,3.0,1.0,,3.0,,6.0,0.0,4.0,2.0,,45.0,,2.0,2.0,0.0,18.0,0.0,3.0,0.0,190.0,,4.0,0.0,2402.0,3.0,0.0,29.0,8.0,5.0,0.0
10,2014,10,120.0,77.0,32.8,25.170295698924733,6.0,28.4,14.0,10.0,0.0,,1.0,974.0,0.0,0.0,,4.0,0.0,,4.0,,5.0,1.0,3.0,0.0,,36.0,,0.0,2.0,0.0,12.0,0.0,0.0,0.0,138.0,,2.0,0.0,1508.0,2.0,0.0,27.0,5.0,5.0,0.0
23,2014,11,250.8,82.4,64.4,25.094722222222224,5.4,27.5,10.0,2.0,0.0,,0.0,637.0,1.0,0.0,,1.0,0.0,,3.0,,5.0,0.0,2.0,1.0,,34.0,,1.0,0.0,0.0,14.0,0.0,2.0,0.0,137.0,,3.0,0.0,1472.0,2.0,0.0,24.0,3.0,5.0,0.0
17,2014,12,245.6,82.6,48.2,24.71545698924731,3.7,27.0,5.0,4.0,0.0,,0.0,933.0,0.0,0.0,,2.0,0.0,,3.0,,4.0,3.0,3.0,2.0,,36.0,,0.0,2.0,0.0,17.0,0.0,0.0,0.0,134.0,,4.0,0.0,1885.0,2.0,0.0,33.0,4.0,9.0,0.0
6,2015,1,79.6,77.6,33.6,23.8377688172043,7.4,26.9,2.0,1.0,0.0,,0.0,1192.0,1.0,0.0,,5.0,0.0,,2.0,,1.0,2.0,5.0,1.0,,49.0,,3.0,9.0,0.0,13.0,0.0,1.0,0.0,157.0,,10.0,0.0,2462.0,6.0,0.0,44.0,7.0,4.0,0.0
6,2015,2,18.8,75.4,10.8,23.633035714285715,7.3,27.0,6.0,2.0,0.0,,0.0,633.0,2.0,0.0,,2.0,0.0,,2.0,,1.0,3.0,4.0,0.0,,33.0,,2.0,3.0,0.0,11.0,0.0,2.0,0.0,116.0,,2.0,0.0,2325.0,1.0,0.0,41.0,6.0,2.0,0.0
5,2015,3,84.4,75.8,46.0,24.765860215053763,7.3,28.2,8.0,1.0,0.0,,0.0,527.0,2.0,0.0,,1.0,0.0,,3.0,,7.0,3.0,4.0,0.0,,46.0,,7.0,5.0,0.0,8.0,0.0,2.0,0.0,164.0,,4.0,0.0,2723.0,2.0,0.0,30.0,1.0,4.0,0.0
13,2015,4,73.2,77.1,18.8,25.373055555555553,7.2,28.6,6.0,1.0,0.0,,0.0,505.0,0.0,0.0,,3.0,0.0,,2.0,,3.0,7.0,2.0,0.0,,42.0,,3.0,4.0,0.0,8.0,0.0,1.0,0.0,134.0,,4.0,0.0,2825.0,4.0,0.0,36.0,1.0,7.0,0.0
12,2015,5,89.0,78.9,22.2,25.795564516129033,5.8,28.7,6.0,0.0,0.0,,0.0,595.0,4.0,0.0,,3.0,0.0,,1.0,,3.0,3.0,1.0,0.0,,41.0,,0.0,2.0,0.0,14.0,0.0,3.0,0.0,138.0,,4.0,0.0,3362.0,3.0,0.0,33.0,3.0,4.0,0.0
10,2015,6,95.8,75.8,28.4,25.58625,6.7,29.0,4.0,1.0,0.0,,0.0,1153.0,1.0,0.0,,1.0,0.0,,2.0,,7.0,8.0,9.0,2.0,,51.0,,3.0,6.0,0.0,14.0,0.0,1.0,0.0,173.0,,4.0,0.0,2544.0,1.0,0.0,30.0,9.0,3.0,0.0
13,2015,7,116.8,74.9,45.8,25.54422043010753,7.1,29.1,5.0,4.0,0.0,,0.0,1032.0,0.0,0.0,,2.0,0.0,,0.0,,7.0,3.0,2.0,1.0,,37.0,,0.0,4.0,0.0,15.0,0.0,0.0,0.0,150.0,,3.0,0.0,1638.0,7.0,0.0,29.0,1.0,6.0,0.0
11,2015,8,185.8,76.7,63.2,25.17755376344086,6.1,28.4,2.0,0.0,0.0,,1.0,942.0,0.0,0.0,,3.0,1.0,,0.0,,4.0,2.0,2.0,0.0,,36.0,,2.0,2.0,0.0,15.0,0.0,1.0,0.0,193.0,,3.0,0.0,2048.0,3.0,0.0,34.0,9.0,2.0,0.0
8,2015,9,61.6,75.0,18.4,25.183611111111112,4.3,28.7,6.0,26.0,0.0,,0.0,1226.0,0.0,0.0,,4.0,1.0,,0.0,,8.0,4.0,5.0,0.0,,43.0,,1.0,7.0,0.0,12.0,0.0,1.0,0.0,212.0,,4.0,0.0,2096.0,6.0,0.0,38.0,4.0,4.0,0.0
9,2015,10,87.2,75.4,28.6,25.2127688172043,4.7,28.7,9.0,7.0,0.0,,1.0,971.0,0.0,0.0,,3.0,0.0,,2.0,,2.0,3.0,3.0,0.0,,32.0,,3.0,5.0,0.0,10.0,0.0,2.0,0.0,172.0,,5.0,0.0,2002.0,7.0,0.0,33.0,3.0,11.0,0.0
13,2015,11,72.6,79.1,25.8,25.090416666666666,4.8,28.0,4.0,2.0,0.0,,1.0,996.0,1.0,0.0,,1.0,1.0,,1.0,,5.0,2.0,1.0,2.0,,37.0,,0.0,6.0,0.0,12.0,0.0,0.0,0.0,204.0,,0.0,0.0,2266.0,3.0,0.0,32.0,5.0,8.0,0.0
19,2015,12,302.3,81.1,40.4,25.13037634408602,5.3,27.7,4.0,1.0,0.0,,0.0,1519.0,1.0,0.0,,2.0,0.0,,2.0,,1.0,1.0,4.0,0.0,,27.0,,2.0,4.0,0.0,5.0,0.0,2.0,0.0,187.0,,5.0,0.0,1918.0,0.0,0.0,40.0,1.0,8.0,0.0
15,2016,1,126.6,79.6,39.6,25.472580645161287,7.2,28.3,10.0,0.0,1.0,,1.0,2969.0,4.0,0.0,,6.0,0.0,,0.0,,1.0,1.0,5.0,1.0,,45.0,,2.0,7.0,0.0,10.0,0.0,1.0,0.0,255.0,,7.0,0.0,2778.0,3.0,0.0,39.0,5.0,6.0,0.0
10,2016,2,186.0,78.8,71.8,24.938505747126438,6.5,27.8,4.0,0.0,0.0,,0.0,1932.0,5.0,0.0,,1.0,0.0,,1.0,,0.0,4.0,3.0,0.0,,31.0,,1.0,5.0,0.0,13.0,0.0,2.0,0.0,176.0,,5.0,0.0,2875.0,2.0,0.0,40.0,5.0,3.0,0.0
6,2016,3,6.2,74.7,2.4,25.40456989247312,8.0,29.0,11.0,0.0,0.0,,0.0,1741.0,7.0,0.0,,2.0,0.0,,1.0,,2.0,11.0,4.0,0.0,,36.0,,8.0,8.0,0.0,10.0,0.0,2.0,0.0,162.0,,2.0,0.0,4489.0,2.0,0.0,37.0,6.0,8.0,0.0
14,2016,4,89.8,75.6,18.2,25.945277777777775,7.0,29.4,16.0,0.0,0.0,,0.0,881.0,0.0,0.0,,3.0,1.0,,3.0,,2.0,17.0,2.0,0.0,,36.0,,1.0,4.0,0.0,16.0,0.0,0.0,0.0,176.0,,3.0,0.0,4141.0,0.0,0.0,46.0,3.0,10.0,0.0
12,2016,5,193.8,77.4,54.8,26.075806451612905,6.2,29.3,10.0,0.0,0.0,,0.0,846.0,1.0,0.0,,0.0,0.0,,0.0,,1.0,29.0,4.0,0.0,,50.0,,2.0,4.0,0.0,9.0,0.0,0.0,0.0,192.0,,5.0,0.0,5214.0,2.0,0.0,41.0,6.0,14.0,1.0
13,2016,6,162.8,77.7,67.8,25.419166666666666,5.4,28.5,6.0,1.0,0.0,,0.0,1046.0,3.0,0.0,,9.0,0.0,,0.0,,3.0,8.0,8.0,1.0,,60.0,,1.0,16.0,0.0,16.0,0.0,3.0,0.0,225.0,,4.0,0.0,4987.0,2.0,0.0,41.0,4.0,15.0,0.0
20,2016,7,168.6,77.3,59.4,25.259543010752687,6.3,28.4,8.0,0.0,0.0,,0.0,921.0,1.0,0.0,,4.0,0.0,,2.0,,2.0,4.0,7.0,1.0,,46.0,,1.0,10.0,0.0,12.0,0.0,3.0,0.0,215.0,,3.0,0.0,3635.0,0.0,0.0,21.0,12.0,10.0,0.0
15,2016,8,139.2,74.0,30.6,25.236155913978497,6.7,28.9,7.0,2.0,0.0,,0.0,1002.0,3.0,0.0,,4.0,2.0,,2.0,,7.0,7.0,5.0,0.0,,37.0,,1.0,4.0,0.0,11.0,0.0,1.0,0.0,156.0,,5.0,0.0,3685.0,4.0,0.0,30.0,6.0,8.0,215.0
15,2016,9,118.9,73.9,34.0,24.610138888888887,5.5,28.3,8.0,0.0,0.0,,1.0,852.0,0.0,0.0,,0.0,2.0,,3.0,,6.0,10.0,7.0,0.0,,68.0,,1.0,4.0,0.0,11.0,0.0,2.0,0.0,205.0,,3.0,0.0,3694.0,11.0,0.0,67.0,3.0,14.0,188.0
16,2016,10,181.0,72.0,75.4,24.35282258064516,4.6,28.3,7.0,1.0,0.0,,0.0,371.0,1.0,0.0,,0.0,0.0,,1.0,,2.0,6.0,6.0,1.0,,47.0,,1.0,7.0,0.0,8.0,0.0,0.0,0.0,166.0,,4.0,0.0,2178.0,7.0,0.0,21.0,0.0,14.0,38.0
20,2016,11,290.2,77.6,65.6,24.353194444444444,3.5,27.4,8.0,3.0,0.0,,0.0,316.0,1.0,0.0,,0.0,1.0,,1.0,,0.0,21.0,9.0,0.0,,36.0,,0.0,7.0,0.0,9.0,0.0,0.0,0.0,120.0,,4.0,0.0,2264.0,4.0,0.0,31.0,1.0,5.0,10.0
23,2016,12,292.6,72.8,73.0,23.570833333333333,5.1,27.4,3.0,0.0,0.0,,0.0,276.0,0.0,0.0,,0.0,10.0,,1.0,,4.0,19.0,5.0,5.0,,48.0,,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,,6.0,0.0,2242.0,2.0,0.0,27.0,3.0,5.0,2.0
21,2017,1,197.6,84.8,60.6,24.893010752688173,4.8,26.9,8.0,2.0,0.0,0.0,0.0,362.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,11.0,6.0,1.0,,51.0,0.0,5.0,6.0,0.0,12.0,0.0,2.0,0.0,208.0,0.0,18.0,0.0,2754.0,0.0,0.0,41.0,6.0,10.0,1.0
15,2017,2,158.4,83.2,31.0,24.679464285714282,7.1,26.9,6.0,2.0,0.0,0.0,0.0,223.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,9.0,4.0,1.0,,45.0,1.0,1.0,9.0,0.0,16.0,0.0,3.0,0.0,149.0,0.0,5.0,0.0,2978.0,1.0,0.0,23.0,7.0,2.0,4.0
11,2017,3,136.2,82.5,30.2,24.988440860215057,6.1,27.4,1.0,0.0,0.0,0.0,0.0,184.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,12.0,5.0,2.0,,58.0,1.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,204.0,0.0,3.0,0.0,3888.0,3.0,0.0,39.0,9.0,7.0,8.0
21,2017,4,208.6,83.5,42.8,25.54638888888889,5.3,27.8,1.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,3.0,1.0,,39.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,148.0,0.0,4.0,0.0,2923.0,0.0,0.0,29.0,12.0,4.0,20.0
